time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
11,1.0,22528,4.28693809,23,951,0.017669424565974624,-0.05095582983922213,0.2,0.630908203125,0.0003,0.9593048095703125,-28.951843374967574,100,0.19361204,0.7931990027427673,-0.11098361760377884,,
12,1.0,24576,4.32175555,23,1037,0.017983779226779007,-0.048081136624387,0.2,0.650537109375,0.0003,0.9548726677894592,-28.85157780647278,110,0.18767965,0.7809765338897705,-0.05894364044070244,,
13,1.0,26624,4.36320102,23,1123,0.018546387177775615,-0.03375871466996614,0.2,0.663427734375,0.0003,0.9492429494857788,-28.742125934362413,120,0.20464796,0.7770029306411743,-0.10605251789093018,,
14,1.0,28672,4.36024356,23,1209,0.018824165136902594,-0.028934453960391692,0.2,0.694873046875,0.0003,0.9458768963813782,-28.6415963947773,130,0.24676152,0.7817691564559937,-0.06573902070522308,,
,,30000,,,,0.020291123914648778,-0.01000029499118682,0.2,0.726953125,0.0003,0.9432679414749146,-28.574157816171645,140,0.36151022,0.7654805779457092,-0.04099432751536369,4.477679,1.0
15,1.0,30720,4.4029056099999995,23,1295,,,,,,,,,,,,,
16,1.0,32768,4.35233699,23,1382,0.020654507077415472,-0.008958061476005242,0.2,0.72724609375,0.0003,0.9401800036430359,-28.502780663967133,150,0.36231598,0.741613507270813,0.013709934428334236,,
17,1.0,34816,4.416633449999999,23,1469,0.021363970584934576,0.01789379441179335,0.2,0.732275390625,0.0003,0.9362550377845764,-28.417973613739015,160,0.6027374,0.7404592633247375,0.08618026971817017,,
18,1.0,36864,4.43841248,23,1556,0.023141689374460837,0.024499141136766413,0.2,0.7849609375,0.0003,0.9320878982543945,-28.33375475406647,170,0.5856403,0.7444032430648804,0.02430754527449608,,
19,1.0,38912,4.444236330000001,23,1643,0.022734306554775686,0.05666829134861473,0.2,0.776513671875,0.0003,0.928031325340271,-28.234073436260225,180,0.560233,0.713516354560852,0.04975511506199837,,
,,40000,,,,0.02705430656205863,0.050855276628863064,0.2,0.773583984375,0.0003,0.9241694808006287,-28.138965117931367,190,0.46984082,0.6841002702713013,-0.04419483244419098,4.4986446,1.0
20,1.0,40960,4.477472509999999,23,1730,,,,,,,,,,,,,
21,1.0,43008,4.5022204299999995,23,1816,0.028076572442660108,0.06024603304977063,0.2,0.795458984375,0.0003,0.9221347570419312,-28.067771792411804,200,0.58453095,0.6666863560676575,0.08860376477241516,,
22,1.0,45056,4.4874846999999995,23,1903,0.02724028994271066,0.08431192873686086,0.2,0.821044921875,0.0003,0.9179912805557251,-27.98653987646103,210,0.9209972,0.6977912187576294,-0.03655969351530075,,
23,1.0,47104,4.50370527,23,1990,0.027999662107322364,0.08791569345048629,0.2,0.8267578125,0.0003,0.9163829684257507,-27.92250137925148,220,0.6993239,0.6837401390075684,0.01945635676383972,,
24,1.0,49152,4.54303131,23,2076,0.027851611928781494,0.07426838539249729,0.2,0.827880859375,0.0003,0.9149242043495178,-27.88799030780792,230,0.93117666,0.6865399479866028,0.10968534648418427,,
,,50000,,,,0.033670229685958473,0.1303974389913492,0.2,0.85693359375,0.0003,0.9134959578514099,-27.851105296611784,240,1.2124175,0.6503015756607056,0.12781620025634766,4.669736,1.0
25,1.0,51200,4.54499941,23,2163,,,,,,,,,,,,,
26,1.0,53248,4.590399709999999,23,2249,0.036169715010328216,0.10649076378904283,0.2,0.850830078125,0.0003,0.9115513563156128,-27.8152064204216,250,1.1351869,0.643731951713562,0.05202199146151543,,
27,1.0,55296,4.5649938500000005,23,2336,0.03447911535040475,0.1192539967421908,0.2,0.8509765625,0.0003,0.9087343811988831,-27.76348603963852,260,0.90615225,0.629365086555481,0.03569428622722626,,
28,1.0,57344,4.56482971,23,2423,0.030587052437476815,0.1276496945793042,0.2,0.84990234375,0.0003,0.9057232141494751,-27.69383148550987,270,1.0009634,0.6123121380805969,0.0621095672249794,,
29,1.0,59392,4.5590281500000005,23,2509,0.030289181877742523,0.13947859089821577,0.2,0.8671875,0.0003,0.9067476391792297,-27.66477671265602,280,1.5180304,0.6187294721603394,0.10837674885988235,,
,,60000,,,,0.03655711501487531,0.18927134279510938,0.2,0.867578125,0.0003,0.9021297097206116,-27.625298458337785,290,1.2944702,0.617222785949707,0.17049425840377808,4.5165618,1.0
30,1.0,61440,4.55237778,23,2596,,,,,,,,,,,,,
31,1.0,63488,4.571027679999999,23,2683,0.030743035150226205,0.1353837282746099,0.2,0.873583984375,0.0003,0.9013766646385193,-27.547719264030455,300,1.094696,0.6236350536346436,0.11310770362615585,,
32,1.0,65536,4.51810167,23,2770,0.0369719498383347,0.15949660243932157,0.2,0.880615234375,0.0003,0.8980836868286133,-27.49022719860077,310,1.3740985,0.6169388294219971,0.13379625976085663,,
33,1.0,67584,4.57705486,23,2856,0.036429390852572394,0.1996111340529751,0.2,0.900927734375,0.0003,0.8980658650398254,-27.462872046232224,320,2.4654465,0.6077917218208313,0.11729836463928223,,
34,1.0,69632,4.5713493199999995,23,2942,0.03518157630460337,0.13657761273207142,0.2,0.882861328125,0.0003,0.9006006121635437,-27.491044133901596,330,1.8166994,0.46801793575286865,0.20926272869110107,,
,,70000,,,,0.03518633846542798,0.17320200263056904,0.2,0.894091796875,0.0003,0.8992806673049927,-27.510115498304366,340,1.5372226,0.5739419460296631,0.24260446429252625,4.675399199999999,1.0
35,1.0,71680,4.565463680000001,23,3028,,,,,,,,,,,,,
36,1.0,73728,4.60014381,23,3115,0.03558122598915361,0.18363592213718222,0.2,0.877978515625,0.0003,0.8989664912223816,-27.47124637365341,350,1.7185545,0.5992720723152161,0.08303233981132507,,
37,1.0,75776,4.62227352,23,3203,0.03480298038921319,0.2099082309694495,0.2,0.879150390625,0.0003,0.8971171975135803,-27.467172467708586,360,1.5058844,0.510629415512085,0.14960025250911713,,
38,1.0,77824,4.53689157,23,3289,0.036706268572015685,0.13194860948133283,0.2,0.8728515625,0.0003,0.896632969379425,-27.439529675245286,370,1.7984087,0.4955904483795166,0.09168179333209991,,
39,1.0,79872,4.59000932,23,3375,0.03546136043732986,0.13169785476638934,0.2,0.86298828125,0.0003,0.8930637240409851,-27.392469692230225,380,0.9681086,0.5968384742736816,0.07274964451789856,,
,,80000,,,,0.03480973276309669,0.3035083187103737,0.2,0.88837890625,0.0003,0.8947928547859192,-27.36809147000313,390,1.583502,0.578707218170166,0.13577741384506226,4.6685596,1.0
40,1.0,81920,4.565410430000001,23,3461,,,,,,,,,,,,,
41,1.0,83968,4.53436174,23,3548,0.031585424300283195,0.16849905070848764,0.2,0.885498046875,0.0003,0.893510103225708,-27.375193339586257,400,1.5441737,0.5704418420791626,0.2003135085105896,,
42,1.0,86016,4.58752331,23,3634,0.03593526484910399,0.14463662029593252,0.2,0.87802734375,0.0003,0.8899338245391846,-27.30930024981499,410,1.7304282,0.5903557538986206,0.15100276470184326,,
43,1.0,88064,4.57508804,23,3720,0.03783168144873343,0.17750368674169295,0.2,0.88310546875,0.0003,0.8903318047523499,-27.261497366428376,420,2.6362557,0.5349748134613037,0.13470885157585144,,
,,90000,,,,0.03842819958808832,0.2744729064812418,0.2,0.90791015625,0.0003,0.8905396461486816,-27.278807997703552,430,2.2439566,0.556011974811554,0.2421075999736786,4.7635622,1.0
44,1.0,90112,4.59224327,23,3806,,,,,,,,,,,,,
45,1.0,92160,4.581110810000001,23,3892,0.03936426146537997,0.14626459018618335,0.2,0.858056640625,0.0003,0.8883288502693176,-27.25102287530899,440,1.2314649,0.4868313670158386,0.20267033576965332,,
46,1.0,94208,4.55649147,23,3978,0.03819309529499151,0.1460829074290814,0.2,0.87490234375,0.0003,0.8848546743392944,-27.196879929304124,450,1.6272135,0.4748133420944214,0.09969376027584076,,
47,1.0,96256,4.55157771,23,4064,0.03686422263854183,0.1917675731005147,0.2,0.897705078125,0.0003,0.884435772895813,-27.148289543390273,460,2.7239466,0.5769200325012207,0.2069818675518036,,
48,1.0,98304,4.5652740099999995,23,4150,0.04142798269167543,0.1422862725710729,0.2,0.895703125,0.0003,0.8817493319511414,-27.110091900825502,470,1.6725873,0.5371734499931335,0.006787678226828575,,
,,100000,,,,0.03434549804078415,0.1547918839089107,0.2,0.872021484375,0.0003,0.8801999092102051,-27.067196345329286,480,1.3860933,0.5701944828033447,0.0001528467983007431,4.6426164,1.0
49,1.0,100352,4.49966677,23,4236,,,,,,,,,,,,,
50,1.0,102400,4.578234859999999,23,4322,0.03784129252890125,0.14853643055830618,0.2,0.885546875,0.0003,0.8793113231658936,-27.031689256429672,490,1.6309044,0.5484703183174133,0.11307330429553986,,
51,1.0,104448,4.58806695,23,4408,0.036177751619834456,0.17923823418095708,0.2,0.875390625,0.0003,0.8787530660629272,-27.002402186393738,500,1.7873578,0.537570595741272,0.010252617299556732,,
52,1.0,106496,4.53319475,23,4493,0.03189932301756926,0.1464862338412786,0.2,0.865771484375,0.0003,0.8779878616333008,-26.979284793138504,510,1.4419868,0.5830144286155701,0.09791089594364166,,
53,1.0,108544,4.634063670000001,23,4578,0.03808477885904722,0.14254574692749883,0.2,0.87060546875,0.0003,0.8776227235794067,-26.979694283008577,520,1.2732142,0.5640604496002197,0.07828414440155029,,
,,110000,,,,0.03523680388461799,0.1552745358494576,0.2,0.859033203125,0.0003,0.8742271065711975,-26.9249616086483,530,1.3963654,0.5631014108657837,0.11691808700561523,4.778200200000001,1.0
54,1.0,110592,4.569559220000001,23,4664,,,,,,,,,,,,,
55,1.0,112640,4.57812272,23,4749,0.03915684028179385,0.1603108404611703,0.2,0.882763671875,0.0003,0.8735752105712891,-26.866539818048476,540,2.2544744,0.5773494243621826,0.16045036911964417,,
56,1.0,114688,4.59357437,23,4834,0.03432743481826037,0.14798624471295624,0.2,0.87431640625,0.0003,0.8701930642127991,-26.819747340679168,550,2.1072407,0.567831814289093,0.07483382523059845,,
57,1.0,116736,4.61354091,23,4920,0.03400237136520445,0.12457662052183878,0.2,0.848291015625,0.0003,0.8688719868659973,-26.76244651675224,560,1.223524,0.5559800863265991,-0.005093522369861603,,
58,1.0,118784,4.590207630000001,23,5005,0.03199691425543279,0.239105663751252,0.2,0.915576171875,0.0003,0.8691377639770508,-26.740541416406632,570,2.6682854,0.5738422870635986,0.19410178065299988,,
,,120000,,,,0.038042471645167095,0.20523122250451706,0.2,0.891015625,0.0003,0.8670035004615784,-26.73039366006851,580,2.1171677,0.5171974301338196,0.19977203011512756,4.8018896,1.0
59,1.0,120832,4.622292079999999,23,5090,,,,,,,,,,,,,
60,1.0,122880,4.60304919,23,5175,0.03572020446299575,0.16705646375776267,0.2,0.8697265625,0.0003,0.8671746253967285,-26.69860969185829,590,1.818582,0.5215989351272583,0.34291455149650574,,
61,1.0,124928,4.6170776899999995,23,5261,0.04137636135565117,0.3267159604525659,0.2,0.90908203125,0.0003,0.8670805096626282,-26.697887194156646,600,2.6429057,0.5888230800628662,0.14647001028060913,,
62,1.0,126976,4.59140162,23,5346,0.039581840037135406,0.16662827389664017,0.2,0.8728515625,0.0003,0.8664268255233765,-26.699800974130632,610,1.8315359,0.5223631858825684,0.17943239212036133,,
63,1.0,129024,4.60686988,23,5431,0.034555014624493195,0.10930398085911293,0.2,0.841552734375,0.0003,0.8626353144645691,-26.64256199002266,620,1.2861025,0.4929664134979248,0.07609070092439651,,
,,130000,,,,0.03194309446844272,0.19392719502793626,0.2,0.884375,0.0003,0.8623964190483093,-26.602752447128296,630,1.7279831,0.5743436813354492,0.08964863419532776,4.671866200000001,1.0
64,1.0,131072,4.6570009500000005,23,5516,,,,,,,,,,,,,
65,1.0,133120,4.624201609999999,23,5601,0.032917409064248206,0.1892370410845615,0.2,0.845068359375,0.0003,0.8593282699584961,-26.540977680683135,640,1.2577128,0.5554311275482178,0.1439383178949356,,
66,1.0,135168,4.59262661,23,5686,0.03660343562369235,0.24599398110003676,0.2,0.90703125,0.0003,0.8598008155822754,-26.5076515853405,650,2.497634,0.5678040981292725,0.20277716219425201,,
67,1.0,137216,4.62142877,23,5771,0.03723810076480731,0.12298747547320091,0.2,0.857421875,0.0003,0.8574573397636414,-26.497905069589613,660,1.6003325,0.5814048647880554,0.08944308757781982,,
68,1.0,139264,4.6022225500000005,23,5856,0.035433080498478375,0.0933991151774535,0.2,0.83857421875,0.0003,0.8512059450149536,-26.373916286230088,670,1.0586855,0.5797008872032166,0.05399278551340103,,
,,140000,,,,0.03413904235931113,0.11928526578703895,0.2,0.857958984375,0.0003,0.8501089215278625,-26.290216648578642,680,1.927327,0.5970056056976318,0.1108492985367775,4.7932268,1.0
69,1.0,141312,4.598617450000001,23,5942,,,,,,,,,,,,,
70,1.0,143360,4.54313245,23,6027,0.033726457180455326,0.16237536253174767,0.2,0.862646484375,0.0003,0.8493850231170654,-26.26578590273857,690,2.3919787,0.5730555653572083,0.14020809531211853,,
71,1.0,145408,4.62674277,23,6113,0.03710378400865011,0.13735053781419992,0.2,0.8720703125,0.0003,0.8511520028114319,-26.281595557928085,700,1.7042933,0.5893016457557678,0.10850291699171066,,
72,1.0,147456,4.60404069,23,6198,0.034536883013788613,0.22974415682838298,0.2,0.884716796875,0.0003,0.8491594195365906,-26.273048597574235,710,1.8387656,0.5666776895523071,0.17686259746551514,,
73,1.0,149504,4.59271651,23,6283,0.03600356243550777,0.1475647117011249,0.2,0.874169921875,0.0003,0.8460833430290222,-26.213542133569717,720,1.5513926,0.5898199081420898,0.2667115330696106,,
,,150000,,,,0.035583663592115046,0.16551636364602018,0.2,0.877978515625,0.0003,0.8467897772789001,-26.16773939728737,730,1.8128247,0.4759053587913513,0.1411800980567932,4.779967,1.0
74,1.0,151552,4.60459637,23,6368,,,,,,,,,,,,,
75,1.0,153600,4.593263459999999,23,6453,0.03207010661717504,0.11759886233194265,0.2,0.8599609375,0.0003,0.8462022542953491,-26.1614293217659,740,1.7853987,0.5746601819992065,0.1185697689652443,,
76,1.0,155648,4.644410860000001,23,6538,0.0317153057520045,0.2134013735980261,0.2,0.88056640625,0.0003,0.8443471193313599,-26.120663917064668,750,2.2360668,0.5724846720695496,0.17801105976104736,,
77,1.0,157696,4.56432458,23,6622,0.03620921791298315,0.12296909438737202,0.2,0.862744140625,0.0003,0.8446746468544006,-26.1091137111187,760,2.0919156,0.6026095747947693,0.12228211015462875,,
78,1.0,159744,4.61541047,23,6708,0.03652974817669019,0.10869657528528479,0.2,0.862353515625,0.0003,0.8423759937286377,-26.083873450756073,770,1.6218965,0.5793805122375488,0.1711501032114029,,
,,160000,,,,0.03378866051789373,0.17823038453352638,0.2,0.873486328125,0.0003,0.8423351049423218,-26.049692636728288,780,2.852516,0.5311026573181152,0.16746364533901215,4.468833200000001,1.0
79,1.0,161792,4.65371266,23,6794,,,,,,,,,,,,,
80,1.0,163840,4.611587579999999,23,6878,0.035320015251636507,0.16349887057149318,0.2,0.878515625,0.0003,0.8414580225944519,-26.029019099473953,790,1.7779584,0.5188363194465637,0.04482250660657883,,
81,1.0,165888,4.626059730000001,23,6964,0.034424679121002555,0.1355262218043208,0.2,0.87373046875,0.0003,0.8403307795524597,-25.99878208041191,800,1.7415476,0.513258695602417,0.1565057635307312,,
82,1.0,167936,4.641990379999999,23,7050,0.034256743447622286,0.1745631177618634,0.2,0.88818359375,0.0003,0.8394550085067749,-25.96979265809059,810,1.8788099,0.5725321769714355,0.2588667869567871,,
83,1.0,169984,4.56234645,23,7135,0.03446629728423432,0.12813341495930217,0.2,0.8619140625,0.0003,0.8388261795043945,-25.946142852306366,820,1.671657,0.5874904990196228,0.1749049723148346,,
,,170000,,,,0.03613889694097452,0.1662358708505053,0.2,0.87275390625,0.0003,0.8388600945472717,-25.93192066550255,830,2.0602913,0.5101072788238525,0.09401628375053406,4.7971334,1.0
84,1.0,172032,4.580609239999999,23,7220,,,,,,,,,,,,,
85,1.0,174080,4.62882095,23,7305,0.03280443508992903,0.1740004317543935,0.2,0.89140625,0.0003,0.8389545679092407,-25.948250424861907,840,2.189951,0.5460077524185181,0.13905473053455353,,
86,1.0,176128,4.596381999999999,23,7390,0.03120594083738979,0.15041672419756652,0.2,0.8744140625,0.0003,0.838605523109436,-25.93881732225418,850,1.7735498,0.5893455743789673,0.12028416991233826,,
87,1.0,178176,4.60082052,23,7476,0.034653312078444284,0.19974237461574376,0.2,0.909033203125,0.0003,0.8368731141090393,-25.909431844949722,860,2.4948955,0.6129927635192871,0.07023437321186066,,
,,180000,,,,0.032016182551160455,0.17818517567357048,0.2,0.88857421875,0.0003,0.8359492421150208,-25.882232815027237,870,1.8933735,0.5996434688568115,0.1313571035861969,4.591815599999999,1.0
88,1.0,180224,4.56091505,23,7561,,,,,,,,,,,,,
89,1.0,182272,4.56055636,23,7646,0.03424498353269882,0.17635570299462416,0.2,0.867529296875,0.0003,0.8348770141601562,-25.8440458714962,880,1.9658768,0.6100915670394897,0.2632409334182739,,
90,1.0,184320,4.64269553,23,7732,0.03656975218327716,0.16820230560260824,0.2,0.878173828125,0.0003,0.8354236483573914,-25.840741819143297,890,1.99554,0.5772370100021362,0.11701320111751556,,
91,1.0,186368,4.610449909999999,23,7817,0.03410425524343737,0.19710013709845953,0.2,0.8697265625,0.0003,0.832764208316803,-25.808973371982574,900,1.7780058,0.6085746884346008,0.21233227849006653,,
92,1.0,188416,4.70372224,23,7903,0.0318732850428205,0.10520567580824718,0.2,0.855419921875,0.0003,0.8301802277565002,-25.735466063022614,910,1.6265457,0.5741056203842163,-0.009654486551880836,,
,,190000,,,,0.03144222694099881,0.19083333131857216,0.2,0.881787109375,0.0003,0.8302066326141357,-25.699211341142654,920,1.8304472,0.5732179880142212,0.1759607046842575,4.8320416,1.0
93,1.0,190464,4.637436340000001,23,7988,,,,,,,,,,,,,
94,1.0,192512,4.63648158,23,8073,0.03554928554513026,0.1451817562658107,0.2,0.8546875,0.0003,0.8276336193084717,-25.676248288154603,930,1.6301304,0.5222662091255188,0.18218949437141418,,
95,1.0,194560,4.62217086,23,8158,0.033323543408187106,0.19990378823131322,0.2,0.898681640625,0.0003,0.8253117799758911,-25.618909615278245,940,2.4882324,0.5744131803512573,0.718193769454956,,
96,1.0,196608,4.54959964,23,8243,0.03860858416301198,0.129107465891866,0.2,0.8794921875,0.0003,0.8249130249023438,-25.587813436985016,950,1.8228605,0.5377448201179504,0.08049841970205307,,
97,1.0,198656,4.59593852,23,8328,0.03495604898198508,0.1403921255696332,0.2,0.856689453125,0.0003,0.8231104016304016,-25.55409535765648,960,1.6875465,0.5738226175308228,0.2201654016971588,,
,,200000,,,,0.034380950551712884,0.12543810077186207,0.2,0.859228515625,0.0003,0.8203756213188171,-25.501787972450256,970,1.7445695,0.57499098777771,0.07528737187385559,4.7983236,1.0
98,1.0,200704,4.64894012,23,8414,,,,,,,,,,,,,
99,1.0,202752,4.688668419999999,23,8499,0.035644121904624626,0.11730592508683912,0.2,0.856591796875,0.0003,0.8178082704544067,-25.439250618219376,980,1.3837712,0.5860426425933838,0.040418174117803574,,
100,1.0,204800,4.58476976,23,8584,0.03417691699578427,0.17691819626488722,0.2,0.88017578125,0.0003,0.8182502388954163,-25.413422793149948,990,1.5034751,0.5828147530555725,0.09179016947746277,,
101,1.0,206848,4.6423777699999995,23,8669,0.0341455772111658,0.1660323602205608,0.2,0.872314453125,0.0003,0.8155691027641296,-25.361925220489503,1000,1.615813,0.5590223073959351,0.05249939113855362,,
102,1.0,208896,4.65491965,23,8755,0.03443834572681226,0.16279017882770858,0.2,0.868505859375,0.0003,0.8162427544593811,-25.34575091600418,1010,1.6300273,0.5436540842056274,0.35970988869667053,,
,,210000,,,,0.034524328517727555,0.18290873968508095,0.2,0.885693359375,0.0003,0.8162551522254944,-25.349667924642564,1020,2.4245565,0.5676933526992798,0.07396949082612991,4.631190999999999,1.0
103,1.0,210944,4.56665116,23,8840,,,,,,,,,,,,,
104,1.0,212992,4.64170883,23,8926,0.032581083331024274,0.16112370552145877,0.2,0.88251953125,0.0003,0.815975546836853,-25.348172307014465,1030,1.5280312,0.5451188087463379,0.1788051426410675,,
105,1.0,215040,4.59031054,23,9011,0.032932059292215855,0.24288144338643178,0.2,0.9091796875,0.0003,0.8160703778266907,-25.34259265065193,1040,2.6961927,0.5773573517799377,0.308292955160141,,
106,1.0,217088,4.64095289,23,9096,0.03316428770776838,0.19307191115804018,0.2,0.868505859375,0.0003,0.816238522529602,-25.337543106079103,1050,2.2454724,0.6082487106323242,0.09244908392429352,,
107,1.0,219136,4.6531363699999995,23,9181,0.031217437630402856,0.19443502916255967,0.2,0.87802734375,0.0003,0.8164159655570984,-25.347736966609954,1060,2.8891206,0.5242232084274292,0.11492623388767242,,
,,220000,,,,0.034673763992032036,0.09211793471185956,0.2,0.836474609375,0.0003,0.8152408599853516,-25.333395099639894,1070,1.0178396,0.584072470664978,0.15814602375030518,4.804934800000001,1.0
108,1.0,221184,4.62955416,23,9267,,,,,,,,,,,,,
109,1.0,223232,4.63802165,23,9351,0.03257415848202072,0.1707992770941928,0.2,0.8748046875,0.0003,0.8129775524139404,-25.277874720096587,1080,1.761811,0.5368216037750244,0.06560298800468445,,
110,1.0,225280,4.623674730000001,23,9435,0.031645071099046615,0.1362660529965069,0.2,0.86689453125,0.0003,0.8110696077346802,-25.22473034262657,1090,1.9625707,0.6024047136306763,0.08558517694473267,,
111,1.0,227328,4.6350636100000004,23,9520,0.03344757858430967,0.14315534165361896,0.2,0.835986328125,0.0003,0.8079599738121033,-25.166610461473464,1100,1.257268,0.5887110233306885,0.06333291530609131,,
112,1.0,229376,4.692988309999999,23,9605,0.031926425121491776,0.15609814158524388,0.2,0.8646484375,0.0003,0.806520402431488,-25.090631210803984,1110,2.3194191,0.6303781867027283,0.12903890013694763,,
,,230000,,,,0.03260572283179499,0.12337036940152757,0.2,0.849072265625,0.0003,0.8035424947738647,-25.04038731455803,1120,1.5530593,0.5752191543579102,0.1165669709444046,4.5786446000000005,1.0
113,1.0,231424,4.63912195,23,9691,,,,,,,,,,,,,
114,1.0,233472,4.64972308,23,9775,0.03155658247414976,0.1255077577836346,0.2,0.833984375,0.0003,0.8023396730422974,-24.993302577733992,1130,1.1849337,0.6132451295852661,-0.010209988802671432,,
115,1.0,235520,4.597238229999999,23,9861,0.03140026811743155,0.27856012199190444,0.2,0.83525390625,0.0003,0.8020570278167725,-24.971186417341233,1140,1.3831172,0.5603551864624023,0.024917520582675934,,
116,1.0,237568,4.68246555,23,9946,0.03160103074624203,0.1544872923666844,0.2,0.87978515625,0.0003,0.8002604842185974,-24.95651848912239,1150,1.910919,0.6157609224319458,0.0454024076461792,,
117,1.0,239616,4.654570689999999,23,10032,0.03354101863806136,0.16407507188851014,0.2,0.87060546875,0.0003,0.8004516363143921,-24.930941313505173,1160,1.8378062,0.555627703666687,0.13370448350906372,,
,,240000,,,,0.03143654137384146,0.19549518448184244,0.2,0.893896484375,0.0003,0.7987366914749146,-24.91216285228729,1170,2.6919162,0.5763788223266602,0.08037150651216507,4.6675628,1.0
118,1.0,241664,4.59053898,23,10117,,,,,,,,,,,,,
119,1.0,243712,4.66092189,23,10202,0.030488651123596354,0.18058875782880932,0.2,0.85087890625,0.0003,0.796660304069519,-24.867234987020492,1180,1.2768207,0.591367244720459,0.08986525237560272,,
120,1.0,245760,4.65624652,23,10287,0.031476932164514436,0.13932727148931007,0.2,0.861474609375,0.0003,0.796157956123352,-24.819628357887268,1190,1.6162174,0.5900568962097168,0.12364298105239868,,
121,1.0,247808,4.66080833,23,10372,0.03293985107447952,0.13430364499799907,0.2,0.853125,0.0003,0.7953709959983826,-24.798965978622437,1200,1.5374062,0.5651130080223083,0.1220923662185669,,
122,1.0,249856,4.62997855,23,10457,0.034685035032453015,0.2142496666579973,0.2,0.89052734375,0.0003,0.7953851222991943,-24.78061726093292,1210,1.9386756,0.5632202625274658,0.11646605283021927,,
,,250000,,,,0.03359576310613192,0.2001557369425427,0.2,0.885107421875,0.0003,0.7953048348426819,-24.786245173215868,1220,1.7458211,0.5620309114456177,0.42029693722724915,4.5694654,1.0
123,1.0,251904,4.66432067,23,10543,,,,,,,,,,,,,
124,1.0,253952,4.63844159,23,10628,0.031275998312048615,0.07825652024184819,0.2,0.813525390625,0.0003,0.7911821007728577,-24.72044864296913,1230,1.1162679,0.5129127502441406,0.032467540353536606,,
125,1.0,256000,4.70974865,23,10714,0.032692745135864246,0.16747104555834086,0.2,0.86611328125,0.0003,0.7893941402435303,-24.621302199363708,1240,2.9325256,0.5248247981071472,0.034060269594192505,,
126,1.0,258048,4.61981219,23,10799,0.032743918139021846,0.15648097187222448,0.2,0.855322265625,0.0003,0.7894948720932007,-24.600746142864228,1250,1.8255509,0.5891674757003784,0.03914220631122589,,
,,260000,,,,0.03314863871200942,0.1332814569992479,0.2,0.84833984375,0.0003,0.7893584370613098,-24.598004496097566,1260,1.7385871,0.5543417930603027,0.08556682616472244,4.524592199999999,1.0
127,1.0,260096,4.6846383,23,10885,,,,,,,,,,,,,
128,1.0,262144,4.66624299,23,10969,0.03330947758513503,0.13233505600364878,0.2,0.8544921875,0.0003,0.7875544428825378,-24.56759121417999,1270,2.4070454,0.5799614787101746,0.13448472321033478,,
