[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep   250 | dynL 0.172 polR 0.000e+00 | train C 1.24e-03 S 0.811 | EVAL C 1.825e-04 S 0.9734 | buf 5000 | 586s
ep  5750 | dynL 0.186 polR -1.650e+00 | train C 2.21e-04 S 0.972 | EVAL C 1.151e-04 S 0.9783 | buf 115000 | 14292s
ep  6000 | dynL 0.188 polR -1.815e+00 | train C 1.52e-04 S 0.980 | EVAL C 1.113e-04 S 0.9782 | buf 120000 | 14941s
ep  6250 | dynL 0.190 polR -1.686e+00 | train C 1.04e-04 S 0.979 | EVAL C 9.459e-05 S 0.9801 | buf 125000 | 15587s
ep  6500 | dynL 0.192 polR -1.497e+00 | train C 1.54e-04 S 0.971 | EVAL C 9.057e-05 S 0.9816 | buf 130000 | 16226s
ep  6750 | dynL 0.194 polR -1.248e+00 | train C 1.67e-04 S 0.981 | EVAL C 9.527e-05 S 0.9809 | buf 135000 | 16878s
ep  7000 | dynL 0.195 polR -1.564e+00 | train C 1.24e-04 S 0.980 | EVAL C 9.054e-05 S 0.9823 | buf 140000 | 17537s
ep  7250 | dynL 0.195 polR -1.254e+00 | train C 1.31e-04 S 0.967 | EVAL C 9.075e-05 S 0.9816 | buf 145000 | 18181s
ep  7500 | dynL 0.197 polR -1.258e+00 | train C 1.57e-04 S 0.973 | EVAL C 8.565e-05 S 0.9813 | buf 150000 | 18851s
ep  7750 | dynL 0.199 polR -1.093e+00 | train C 1.15e-04 S 0.983 | EVAL C 7.793e-05 S 0.9827 | buf 155000 | 19494s
ep  8000 | dynL 0.201 polR -1.192e+00 | train C 1.26e-04 S 0.967 | EVAL C 8.308e-05 S 0.9820 | buf 160000 | 20159s
ep  8250 | dynL 0.201 polR -1.110e+00 | train C 2.02e-04 S 0.974 | EVAL C 7.164e-05 S 0.9839 | buf 165000 | 20819s
ep  8500 | dynL 0.205 polR -1.133e+00 | train C 1.12e-04 S 0.968 | EVAL C 6.551e-05 S 0.9845 | buf 170000 | 21487s
ep  8750 | dynL 0.202 polR -1.014e+00 | train C 2.56e-04 S 0.971 | EVAL C 6.676e-05 S 0.9850 | buf 175000 | 22137s
ep  9000 | dynL 0.202 polR -1.077e+00 | train C 7.10e-05 S 0.976 | EVAL C 5.962e-05 S 0.9860 | buf 180000 | 22797s
ep  9250 | dynL 0.205 polR -1.078e+00 | train C 9.66e-05 S 0.976 | EVAL C 6.052e-05 S 0.9872 | buf 185000 | 23469s
ep  9500 | dynL 0.203 polR -1.023e+00 | train C 9.56e-05 S 0.982 | EVAL C 5.158e-05 S 0.9874 | buf 190000 | 24129s
ep  9750 | dynL 0.207 polR -1.003e+00 | train C 1.70e-04 S 0.963 | EVAL C 5.148e-05 S 0.9878 | buf 195000 | 24779s
ep 10000 | dynL 0.205 polR -9.116e-01 | train C 1.30e-04 S 0.982 | EVAL C 4.699e-05 S 0.9885 | buf 200000 | 25428s
ep 10250 | dynL 0.206 polR -9.817e-01 | train C 1.67e-04 S 0.980 | EVAL C 5.291e-05 S 0.9885 | buf 200000 | 26090s
ep 10500 | dynL 0.208 polR -7.685e-01 | train C 1.20e-04 S 0.979 | EVAL C 4.945e-05 S 0.9888 | buf 200000 | 26725s
ep 10750 | dynL 0.210 polR -9.519e-01 | train C 6.81e-05 S 0.984 | EVAL C 4.648e-05 S 0.9884 | buf 200000 | 27359s
ep 11000 | dynL 0.210 polR -7.458e-01 | train C 9.88e-05 S 0.978 | EVAL C 4.833e-05 S 0.9886 | buf 200000 | 28000s
ep 11250 | dynL 0.211 polR -7.444e-01 | train C 1.51e-04 S 0.980 | EVAL C 4.368e-05 S 0.9902 | buf 200000 | 28659s
ep 11500 | dynL 0.210 polR -8.565e-01 | train C 1.92e-04 S 0.962 | EVAL C 4.253e-05 S 0.9897 | buf 200000 | 29311s
ep 11750 | dynL 0.211 polR -6.648e-01 | train C 1.26e-04 S 0.963 | EVAL C 3.575e-05 S 0.9899 | buf 200000 | 29977s
ep 12000 | dynL 0.210 polR -6.266e-01 | train C 9.30e-05 S 0.980 | EVAL C 3.611e-05 S 0.9895 | buf 200000 | 30618s
ep 12250 | dynL 0.212 polR -6.772e-01 | train C 5.35e-05 S 0.987 | EVAL C 3.736e-05 S 0.9908 | buf 200000 | 31261s
ep 12500 | dynL 0.212 polR -5.946e-01 | train C 1.65e-04 S 0.977 | EVAL C 3.659e-05 S 0.9909 | buf 200000 | 31920s
ep 12750 | dynL 0.211 polR -5.633e-01 | train C 1.06e-04 S 0.990 | EVAL C 3.600e-05 S 0.9911 | buf 200000 | 32559s
ep 13000 | dynL 0.211 polR -5.345e-01 | train C 9.19e-05 S 0.985 | EVAL C 3.333e-05 S 0.9916 | buf 200000 | 33194s
ep 13250 | dynL 0.211 polR -5.931e-01 | train C 7.91e-05 S 0.981 | EVAL C 3.320e-05 S 0.9916 | buf 200000 | 33855s
ep 13500 | dynL 0.210 polR -6.350e-01 | train C 1.10e-04 S 0.973 | EVAL C 2.845e-05 S 0.9921 | buf 200000 | 34489s
ep 13750 | dynL 0.209 polR -4.970e-01 | train C 1.06e-04 S 0.977 | EVAL C 3.345e-05 S 0.9918 | buf 200000 | 35137s
ep 14000 | dynL 0.209 polR -4.682e-01 | train C 6.24e-05 S 0.989 | EVAL C 2.826e-05 S 0.9927 | buf 200000 | 35767s
ep 14250 | dynL 0.207 polR -4.095e-01 | train C 7.11e-05 S 0.982 | EVAL C 2.357e-05 S 0.9927 | buf 200000 | 36437s
ep 14500 | dynL 0.206 polR -4.060e-01 | train C 4.70e-05 S 0.992 | EVAL C 2.456e-05 S 0.9929 | buf 200000 | 37086s
ep 14750 | dynL 0.206 polR -4.104e-01 | train C 7.33e-05 S 0.988 | EVAL C 2.168e-05 S 0.9936 | buf 200000 | 37724s
ep 15000 | dynL 0.208 polR -4.580e-01 | train C 4.94e-05 S 0.986 | EVAL C 1.957e-05 S 0.9927 | buf 200000 | 38376s
ep 15250 | dynL 0.207 polR -4.174e-01 | train C 4.82e-05 S 0.990 | EVAL C 1.896e-05 S 0.9928 | buf 200000 | 39013s
ep 15500 | dynL 0.207 polR -4.011e-01 | train C 8.00e-05 S 0.986 | EVAL C 2.030e-05 S 0.9928 | buf 200000 | 39671s
ep 15750 | dynL 0.205 polR -4.860e-01 | train C 4.74e-05 S 0.987 | EVAL C 1.935e-05 S 0.9927 | buf 200000 | 40312s
ep 16000 | dynL 0.205 polR -4.395e-01 | train C 8.10e-05 S 0.984 | EVAL C 1.719e-05 S 0.9923 | buf 200000 | 40971s
ep 16250 | dynL 0.205 polR -3.779e-01 | train C 6.85e-05 S 0.980 | EVAL C 1.690e-05 S 0.9927 | buf 200000 | 41603s
ep 16500 | dynL 0.205 polR -4.285e-01 | train C 4.86e-05 S 0.981 | EVAL C 1.542e-05 S 0.9927 | buf 200000 | 42244s
ep 16750 | dynL 0.205 polR -3.317e-01 | train C 6.75e-05 S 0.990 | EVAL C 1.565e-05 S 0.9929 | buf 200000 | 42910s
ep 17000 | dynL 0.203 polR -4.505e-01 | train C 5.80e-05 S 0.988 | EVAL C 1.685e-05 S 0.9928 | buf 200000 | 43551s
ep 17250 | dynL 0.203 polR -3.880e-01 | train C 8.09e-05 S 0.990 | EVAL C 1.395e-05 S 0.9932 | buf 200000 | 44217s
ep 17500 | dynL 0.201 polR -3.262e-01 | train C 3.98e-05 S 0.989 | EVAL C 1.669e-05 S 0.9934 | buf 200000 | 44892s
ep 17750 | dynL 0.202 polR -4.035e-01 | train C 4.25e-05 S 0.990 | EVAL C 1.509e-05 S 0.9940 | buf 200000 | 45521s
ep 18000 | dynL 0.200 polR -3.060e-01 | train C 8.49e-05 S 0.984 | EVAL C 1.437e-05 S 0.9935 | buf 200000 | 46177s
ep 18250 | dynL 0.201 polR -3.569e-01 | train C 7.85e-05 S 0.976 | EVAL C 1.264e-05 S 0.9942 | buf 200000 | 46840s
ep 18500 | dynL 0.200 polR -3.460e-01 | train C 9.57e-05 S 0.985 | EVAL C 1.366e-05 S 0.9941 | buf 200000 | 47473s
ep 18750 | dynL 0.199 polR -3.562e-01 | train C 9.91e-05 S 0.971 | EVAL C 1.518e-05 S 0.9946 | buf 200000 | 48104s
ep 19000 | dynL 0.199 polR -2.839e-01 | train C 9.68e-05 S 0.988 | EVAL C 1.308e-05 S 0.9951 | buf 200000 | 48775s
ep 19250 | dynL 0.199 polR -3.490e-01 | train C 5.57e-05 S 0.988 | EVAL C 2.023e-05 S 0.9947 | buf 200000 | 49420s
ep 19500 | dynL 0.197 polR -3.603e-01 | train C 1.38e-04 S 0.971 | EVAL C 1.398e-05 S 0.9961 | buf 200000 | 50070s
ep 19750 | dynL 0.199 polR -2.975e-01 | train C 1.06e-04 S 0.981 | EVAL C 1.417e-05 S 0.9960 | buf 200000 | 50708s
ep 20000 | dynL 0.197 polR -3.614e-01 | train C 3.99e-05 S 0.991 | EVAL C 2.375e-05 S 0.9956 | buf 200000 | 51381s
ep 20250 | dynL 0.196 polR -3.403e-01 | train C 7.07e-05 S 0.990 | EVAL C 2.186e-05 S 0.9956 | buf 200000 | 52014s
ep 20500 | dynL 0.195 polR -3.639e-01 | train C 7.77e-05 S 0.986 | EVAL C 1.535e-05 S 0.9966 | buf 200000 | 52652s
ep 20750 | dynL 0.195 polR -3.068e-01 | train C 5.74e-05 S 0.989 | EVAL C 1.877e-05 S 0.9963 | buf 200000 | 53328s
ep 21000 | dynL 0.194 polR -3.341e-01 | train C 4.49e-05 S 0.988 | EVAL C 1.452e-05 S 0.9969 | buf 200000 | 53961s
ep 21250 | dynL 0.195 polR -3.063e-01 | train C 7.20e-05 S 0.983 | EVAL C 1.296e-05 S 0.9975 | buf 200000 | 54625s
ep 21500 | dynL 0.196 polR -3.150e-01 | train C 6.13e-05 S 0.990 | EVAL C 2.004e-05 S 0.9969 | buf 200000 | 55266s
ep 21750 | dynL 0.192 polR -2.427e-01 | train C 3.20e-05 S 0.986 | EVAL C 2.383e-05 S 0.9962 | buf 200000 | 55935s
ep 22000 | dynL 0.193 polR -2.786e-01 | train C 1.82e-04 S 0.984 | EVAL C 1.833e-05 S 0.9971 | buf 200000 | 56593s
ep 22250 | dynL 0.192 polR -3.159e-01 | train C 6.74e-05 S 0.990 | EVAL C 2.381e-05 S 0.9966 | buf 200000 | 57258s
ep 22500 | dynL 0.194 polR -2.761e-01 | train C 1.74e-04 S 0.956 | EVAL C 2.254e-05 S 0.9972 | buf 200000 | 57907s
ep 22750 | dynL 0.193 polR -2.401e-01 | train C 8.32e-05 S 0.988 | EVAL C 1.654e-05 S 0.9970 | buf 200000 | 58575s
ep 23000 | dynL 0.191 polR -2.982e-01 | train C 4.25e-05 S 0.992 | EVAL C 1.833e-05 S 0.9974 | buf 200000 | 59240s
ep 23250 | dynL 0.192 polR -2.265e-01 | train C 6.61e-05 S 0.984 | EVAL C 1.646e-05 S 0.9971 | buf 200000 | 59903s
ep 23500 | dynL 0.195 polR -2.947e-01 | train C 6.10e-05 S 0.992 | EVAL C 2.318e-05 S 0.9967 | buf 200000 | 60582s
ep 23750 | dynL 0.191 polR -2.806e-01 | train C 4.35e-05 S 0.994 | EVAL C 1.495e-05 S 0.9971 | buf 200000 | 61235s
ep 24000 | dynL 0.191 polR -3.404e-01 | train C 5.33e-05 S 0.993 | EVAL C 1.631e-05 S 0.9972 | buf 200000 | 61881s
ep 24250 | dynL 0.191 polR -2.907e-01 | train C 8.74e-05 S 0.985 | EVAL C 1.395e-05 S 0.9979 | buf 200000 | 62529s
ep 24500 | dynL 0.192 polR -2.513e-01 | train C 9.04e-05 S 0.983 | EVAL C 1.696e-05 S 0.9974 | buf 200000 | 63205s
ep 24750 | dynL 0.190 polR -3.485e-01 | train C 4.88e-05 S 0.992 | EVAL C 1.913e-05 S 0.9971 | buf 200000 | 63844s
ep 25000 | dynL 0.191 polR -2.825e-01 | train C 4.40e-05 S 0.988 | EVAL C 1.793e-05 S 0.9973 | buf 200000 | 64496s
ep 25250 | dynL 0.190 polR -2.655e-01 | train C 5.76e-05 S 0.991 | EVAL C 1.689e-05 S 0.9974 | buf 200000 | 65148s
ep 25500 | dynL 0.192 polR -2.651e-01 | train C 3.47e-05 S 0.991 | EVAL C 1.842e-05 S 0.9972 | buf 200000 | 65814s
ep 25750 | dynL 0.189 polR -2.734e-01 | train C 4.11e-05 S 0.994 | EVAL C 1.401e-05 S 0.9978 | buf 200000 | 66477s
ep 26000 | dynL 0.190 polR -2.385e-01 | train C 6.70e-05 S 0.990 | EVAL C 1.764e-05 S 0.9972 | buf 200000 | 67148s
ep 26250 | dynL 0.190 polR -3.192e-01 | train C 4.09e-05 S 0.994 | EVAL C 1.656e-05 S 0.9972 | buf 200000 | 67819s
ep 26500 | dynL 0.188 polR -3.196e-01 | train C 9.26e-05 S 0.989 | EVAL C 2.132e-05 S 0.9974 | buf 200000 | 68457s
ep 26750 | dynL 0.187 polR -2.845e-01 | train C 6.27e-05 S 0.994 | EVAL C 1.727e-05 S 0.9974 | buf 200000 | 69112s
ep 27000 | dynL 0.188 polR -3.402e-01 | train C 4.81e-05 S 0.993 | EVAL C 1.613e-05 S 0.9974 | buf 200000 | 69789s
ep 27250 | dynL 0.190 polR -2.889e-01 | train C 5.94e-05 S 0.987 | EVAL C 1.538e-05 S 0.9974 | buf 200000 | 70441s
ep 27500 | dynL 0.188 polR -2.904e-01 | train C 2.26e-05 S 0.994 | EVAL C 1.749e-05 S 0.9974 | buf 200000 | 71074s
ep 27750 | dynL 0.189 polR -2.769e-01 | train C 1.01e-04 S 0.987 | EVAL C 1.374e-05 S 0.9977 | buf 200000 | 71707s
ep 28000 | dynL 0.188 polR -2.451e-01 | train C 6.81e-05 S 0.991 | EVAL C 1.151e-05 S 0.9980 | buf 200000 | 72360s
ep 28250 | dynL 0.188 polR -2.739e-01 | train C 7.96e-05 S 0.986 | EVAL C 1.513e-05 S 0.9976 | buf 200000 | 73006s
ep 28500 | dynL 0.187 polR -3.000e-01 | train C 3.11e-05 S 0.996 | EVAL C 1.304e-05 S 0.9975 | buf 200000 | 73666s
ep 28750 | dynL 0.189 polR -2.704e-01 | train C 6.32e-05 S 0.992 | EVAL C 1.413e-05 S 0.9976 | buf 200000 | 74319s
ep 29000 | dynL 0.189 polR -2.681e-01 | train C 8.72e-05 S 0.987 | EVAL C 1.309e-05 S 0.9974 | buf 200000 | 74977s
ep 29250 | dynL 0.190 polR -2.941e-01 | train C 3.32e-05 S 0.993 | EVAL C 1.705e-05 S 0.9973 | buf 200000 | 75626s
ep 29500 | dynL 0.189 polR -2.524e-01 | train C 4.77e-05 S 0.991 | EVAL C 1.098e-05 S 0.9979 | buf 200000 | 76271s
ep 29750 | dynL 0.187 polR -2.738e-01 | train C 6.06e-05 S 0.986 | EVAL C 1.867e-05 S 0.9972 | buf 200000 | 76936s
ep 30000 | dynL 0.188 polR -2.556e-01 | train C 4.60e-05 S 0.991 | EVAL C 1.569e-05 S 0.9976 | buf 200000 | 77586s
[po4ncpa] done in 77587s
=== PO4NCPA CORONA DONE ===
